secID,ticker,SecShortName,reportDate,holdingsecType,holdingSecID,holdingTicker,holdingExchangeCd,holdingsecShortName,holdVolume,marketValue,ratioInNa,publishDate,currencyCd
519674.OFCN,519674,银河创新成长混合,2013-12-31,E,603008.XSHG,603008,XSHG,喜临门,100,1066.0,0.0001,2014-03-28,CNY
519674.OFCN,519674,银河创新成长混合,2016-06-30,E,603016.XSHG,603016,XSHG,新宏泰,1602,13600.98,0.0032,2016-08-25,CNY
519674.OFCN,519674,银河创新成长混合,2018-12-31,E,603019.XSHG,603019,XSHG,中科曙光,125000,4485000.0,3.63,2019-01-22,CNY
519674.OFCN,519674,银河创新成长混合,2019-03-31,E,603019.XSHG,603019,XSHG,中科曙光,263000,15853640.0,7.81,2019-04-18,CNY
519674.OFCN,519674,银河创新成长混合,2019-06-30,E,603019.XSHG,603019,XSHG,中科曙光,230000,8073000.0,4.61,2019-08-26,CNY
519674.OFCN,519674,银河创新成长混合,2016-12-31,E,603032.XSHG,603032,XSHG,德新交运,1628,9458.68,0.0041,2017-03-31,CNY
519674.OFCN,519674,银河创新成长混合,2016-12-31,E,603035.XSHG,603035,XSHG,常熟汽饰,2062,21527.28,0.01,2017-03-31,CNY
519674.OFCN,519674,银河创新成长混合,2018-12-31,E,603039.XSHG,603039,XSHG,泛微网络,35910,2596293.0,2.1,2019-03-29,CNY
519674.OFCN,519674,银河创新成长混合,2017-06-30,E,603043.XSHG,603043,XSHG,广州酒家,1810,45738.7,0.02,2017-08-29,CNY
519674.OFCN,519674,银河创新成长混合,2016-12-31,E,603058.XSHG,603058,XSHG,永吉股份,3869,42675.07,0.02,2017-03-31,CNY
519674.OFCN,519674,银河创新成长混合,2019-06-30,E,603068.XSHG,603068,XSHG,博通集成,30000,1739400.0,0.99,2019-08-26,CNY
519674.OFCN,519674,银河创新成长混合,2017-12-31,E,603080.XSHG,603080,XSHG,新疆火炬,1187,16143.2,0.01,2018-03-30,CNY
519674.OFCN,519674,银河创新成长混合,2016-06-30,E,603131.XSHG,603131,XSHG,上海沪工,1263,76664.1,0.02,2016-08-25,CNY
519674.OFCN,519674,银河创新成长混合,2018-06-30,E,603156.XSHG,603156,XSHG,养元饮品,52858,3009734.52,1.88,2018-08-28,CNY
519674.OFCN,519674,银河创新成长混合,2018-12-31,E,603156.XSHG,603156,XSHG,养元饮品,52858,2150263.44,1.74,2019-03-29,CNY
519674.OFCN,519674,银河创新成长混合,2017-12-31,E,603161.XSHG,603161,XSHG,科华控股,1239,20753.25,0.01,2018-03-30,CNY
519674.OFCN,519674,银河创新成长混合,2016-12-31,E,603186.XSHG,603186,XSHG,华正新材,1874,10063.38,0.0044,2017-03-31,CNY
519674.OFCN,519674,银河创新成长混合,2019-06-30,E,603186.XSHG,603186,XSHG,华正新材,220000,6241400.0,3.57,2019-08-26,CNY
519674.OFCN,519674,银河创新成长混合,2019-09-30,E,603186.XSHG,603186,XSHG,华正新材,1079996,42551842.4,6.72,2019-10-24,CNY
519674.OFCN,519674,银河创新成长混合,2016-12-31,E,603218.XSHG,603218,XSHG,日月股份,1652,68805.8,0.03,2017-03-31,CNY
519674.OFCN,519674,银河创新成长混合,2016-12-31,E,603228.XSHG,603228,XSHG,景旺电子,873,20218.68,0.01,2017-03-31,CNY
519674.OFCN,519674,银河创新成长混合,2016-12-31,E,603239.XSHG,603239,XSHG,浙江仙通,645,20285.25,0.01,2017-03-31,CNY
519674.OFCN,519674,银河创新成长混合,2016-12-31,E,603266.XSHG,603266,XSHG,天龙股份,1562,22852.06,0.01,2017-03-31,CNY
519674.OFCN,519674,银河创新成长混合,2017-12-31,E,603283.XSHG,603283,XSHG,赛腾股份,1349,19614.46,0.01,2018-03-30,CNY
519674.OFCN,519674,银河创新成长混合,2017-06-30,E,603286.XSHG,603286,XSHG,日盈电子,890,13528.0,0.01,2017-08-29,CNY
519674.OFCN,519674,银河创新成长混合,2016-12-31,E,603298.XSHG,603298,XSHG,杭叉集团,3641,88403.48,0.04,2017-03-31,CNY
519674.OFCN,519674,银河创新成长混合,2017-06-30,E,603305.XSHG,603305,XSHG,旭升股份,1351,15212.26,0.01,2017-08-29,CNY
519674.OFCN,519674,银河创新成长混合,2017-12-31,E,603329.XSHG,603329,XSHG,上海雅仕,1183,17957.94,0.01,2018-03-30,CNY
519674.OFCN,519674,银河创新成长混合,2017-06-30,E,603331.XSHG,603331,XSHG,百达精工,999,9620.37,0.004,2017-08-29,CNY
519674.OFCN,519674,银河创新成长混合,2017-06-30,E,603335.XSHG,603335,XSHG,迪生力,2230,24864.5,0.01,2017-08-29,CNY
519674.OFCN,519674,银河创新成长混合,2016-06-30,E,603339.XSHG,603339,XSHG,四方科技,2793,151995.06,0.04,2016-08-25,CNY
519674.OFCN,519674,银河创新成长混合,2014-06-30,E,603369.XSHG,603369,XSHG,今世缘,5105,86427.65,0.01,2014-08-27,CNY
519674.OFCN,519674,银河创新成长混合,2018-06-30,E,603387.XSHG,603387,XSHG,基蛋生物,60200,3056956.0,1.91,2018-08-28,CNY
519674.OFCN,519674,银河创新成长混合,2016-12-31,E,603416.XSHG,603416,XSHG,信捷电气,1076,53886.08,0.02,2017-03-31,CNY
519674.OFCN,519674,银河创新成长混合,2018-06-30,E,603416.XSHG,603416,XSHG,信捷电气,179187,4646318.91,2.9,2018-08-28,CNY
519674.OFCN,519674,银河创新成长混合,2017-12-31,E,603477.XSHG,603477,XSHG,振静股份,1955,37027.7,0.01,2018-03-30,CNY
